case_id,settlement_id,merchant_id,razorpay_payment_ids,settlement_amount,bank_credit,fee,refund,utr,event_time,decision_time,policy_version,agent_claim
B093,S-10093,MERCH-DYNE,pay_1009300;pay_1009301;pay_1009302;pay_1009303;pay_1009304,"Rs. 39,376.02","Rs. 39,376.02",Rs. 806.55,Rs. 0.00,DYNE26080210093,2026-08-02 02:13:00,2026-08-02T17:13:00Z,finance-policy-v11,RECONCILED
B094,S-10094,MERCH-BOLT,pay_1009400;pay_1009401;pay_1009402;pay_1009403;pay_1009404;pay_1009405;pay_1009406;pay_1009407,"79,863.34","79,863.34","1,880.79",0.00,BOLT26082210094,2026-08-22T22:40:00Z,2026-08-23T21:40:00Z,finance-policy-v12,RECONCILED
B095,S-10095,MERCH-ACME,pay_1009500;pay_1009501;pay_1009502;pay_1009503;pay_1009504;pay_1009505;pay_1009506;pay_1009507;pay_1009508;pay_1009509;pay_1009510,131143.25,131143.25,2686.27,0.00,ACME26080410095,08/04/2026 12:06,2026-08-05T05:06:00Z,finance-policy-v11,RECONCILED
B096,S-10096,MERCH-ACME,pay_1009600;pay_1009601;pay_1009602;pay_1009603;pay_1009604;pay_1009605;pay_1009606;pay_1009607;pay_1009608;pay_1009609;pay_1009610;pay_1009611,"₹1,33,926.44","₹1,33,926.44","₹2,743.27",₹0.00,ACME26080510096,2026-08-05 17:23:00,2026-08-06T12:23:00Z,finance-policy-v11,RECONCILED
B097,S-10097,MERCH-CRUX,pay_1009700;pay_1009701;pay_1009702;pay_1009703;pay_1009704;pay_1009705;pay_1009706;pay_1009707,"Rs. 91,665.17","Rs. 91,665.17","Rs. 1,877.62",Rs. 0.00,CRUX26080610097,2026-08-06T08:42:00Z,2026-08-06T21:42:00Z,finance-policy-v11,RECONCILED
B098,S-10098,MERCH-BOLT,pay_1009800;pay_1009801;pay_1009802;pay_1009803;pay_1009804;pay_1009805;pay_1009806,"97,757.82","97,757.82","2,002.42",0.00,BOLT26080710098,08/07/2026 05:08,2026-08-08T05:08:00Z,finance-policy-v11,RECONCILED
B099,S-10099,MERCH-BOLT,pay_1009900;pay_1009901;pay_1009902;pay_1009903;pay_1009904,83686.13,83686.13,1714.18,0.00,BOLT26080810099,2026-08-08 11:48:00,2026-08-08T21:48:00Z,finance-policy-v11,RECONCILED
B100,S-10100,MERCH-CRUX,pay_1010000;pay_1010001;pay_1010002;pay_1010003;pay_1010004,"65,909.73","65,909.73","1,350.04",0.00,CRUX26080910100,2026-08-09T09:47:00Z,2026-08-09T22:47:00Z,finance-policy-v11,RECONCILED
B101,S-10101,MERCH-ACME,pay_1010100;pay_1010101;pay_1010102;pay_1010103;pay_1010104;pay_1010105;pay_1010106;pay_1010107;pay_1010108,125905.52,125905.52,2578.97,0.00,ACME26081010101,08/10/2026 04:52,2026-08-10T22:52:00Z,finance-policy-v11,RECONCILED
B102,S-10102,MERCH-BOLT,pay_1010200;pay_1010201;pay_1010202;pay_1010203;pay_1010204;pay_1010205;pay_1010206;pay_1010207;pay_1010208;pay_1010209;pay_1010210,"₹1,08,993.73","₹1,08,993.73","₹2,232.56",₹0.00,BOLT26081110102,2026-08-11 10:41:00,2026-08-12T00:41:00Z,finance-policy-v11,RECONCILED
B103,S-10103,MERCH-EVER,pay_1010300;pay_1010301;pay_1010302;pay_1010303;pay_1010304;pay_1010305;pay_1010306;pay_1010307,"Rs. 95,571.59","Rs. 95,571.59","Rs. 1,957.62",Rs. 0.00,EVER26081210103,2026-08-12T16:27:00Z,2026-08-15T05:27:00Z,finance-policy-v12,RECONCILED
B104,S-10104,MERCH-EVER,pay_1010400;pay_1010401;pay_1010402;pay_1010403;pay_1010404;pay_1010405;pay_1010406;pay_1010407;pay_1010408;pay_1010409;pay_1010410,"1,46,319.53","1,46,319.53","2,997.14",0.00,EVER26081310104,08/13/2026 07:17,2026-08-14T06:17:00Z,finance-policy-v12,RECONCILED
B105,S-10105,MERCH-BOLT,pay_1010500;pay_1010501;pay_1010502;pay_1010503;pay_1010504,52879.48,52879.48,1083.16,0.00,BOLT26081410105,2026-08-14 11:16:00,2026-08-14T22:16:00Z,finance-policy-v12,RECONCILED
B106,S-10106,MERCH-CRUX,pay_1010600;pay_1010601;pay_1010602;pay_1010603;pay_1010604;pay_1010605;pay_1010606;pay_1010607;pay_1010608;pay_1010609;pay_1010610,"₹1,07,077.71","₹1,07,077.71","₹2,193.32",₹0.00,CRUX26080210106,2026-08-02T10:14:00Z,2026-08-03T07:14:00Z,finance-policy-v12,RECONCILED
B107,S-10107,MERCH-CRUX,pay_1010700;pay_1010701;pay_1010702,"Rs. 22,759.71","Rs. 22,759.71",Rs. 466.20,Rs. 0.00,CRUX26081610107,08/16/2026 02:47,2026-08-17T06:47:00Z,finance-policy-v12,RECONCILED
B108,S-10108,MERCH-EVER,pay_1010800;pay_1010801;pay_1010802;pay_1010803;pay_1010804;pay_1010805;pay_1010806,"77,329.79","77,329.79","1,583.97",0.00,EVER26081710108,2026-08-17 01:21:00,2026-08-17T16:21:00Z,finance-policy-v12,RECONCILED
B109,S-10109,MERCH-ACME,pay_1010900;pay_1010901;pay_1010902,34657.58,34657.58,709.90,0.00,ACME26081810109,2026-08-18T14:18:00Z,2026-08-19T15:18:00Z,finance-policy-v12,RECONCILED
B110,S-10110,MERCH-ACME,pay_1011000;pay_1011001;pay_1011002;pay_1011003;pay_1011004;pay_1011005;pay_1011006;pay_1011007;pay_1011008;pay_1011009,134678.26,134678.26,2758.68,0.00,ACME26081910110,08/19/2026 03:23,2026-08-20T08:23:00Z,finance-policy-v12,RECONCILED
B111,S-10111,MERCH-BOLT,pay_1011100;pay_1011101;pay_1011102;pay_1011103;pay_1011104,"₹56,262.49","₹56,262.49","₹1,152.44",₹0.00,BOLT26082010111,2026-08-20 11:52:00,2026-08-21T02:52:00Z,finance-policy-v12,RECONCILED
B112,S-10112,MERCH-CRUX,pay_1011200;pay_1011201;pay_1011202;pay_1011203,"Rs. 56,608.90","Rs. 56,608.90","Rs. 1,159.54",Rs. 0.00,CRUX26082110112,2026-08-21T14:01:00Z,2026-08-22T07:01:00Z,finance-policy-v12,RECONCILED
B113,S-10113,MERCH-DYNE,pay_1011300;pay_1011301;pay_1011302;pay_1011303;pay_1011304;pay_1011305;pay_1011306;pay_1011307;pay_1011308;pay_1011309;pay_1011310,"1,33,001.55","1,33,001.55","2,724.32",0.00,DYNE26082210113,08/22/2026 17:40,2026-08-23T20:40:00Z,finance-policy-v12,RECONCILED
B114,S-10114,MERCH-CRUX,pay_1011400;pay_1011401;pay_1011402;pay_1011403,68865.01,68865.01,1410.59,0.00,CRUX26082310114,2026-08-23 12:11:00,2026-08-25T11:11:00Z,finance-policy-v12,RECONCILED
B115,S-10115,MERCH-CRUX,pay_1011500;pay_1011501;pay_1011502;pay_1011503;pay_1011504,"₹44,823.69","₹44,823.69",₹918.14,₹0.00,CRUX26082410115,2026-08-24T10:45:00Z,2026-08-24T23:45:00Z,finance-policy-v12,RECONCILED
B116,S-10116,MERCH-EVER,pay_1011600;pay_1011601;pay_1011602;pay_1011603;pay_1011604;pay_1011605;pay_1011606;pay_1011607;pay_1011608;pay_1011609;pay_1011610;pay_1011611,"Rs. 1,43,942.20","Rs. 1,43,942.20","Rs. 2,948.44",Rs. 0.00,EVER26080210116,08/02/2026 03:43,2026-08-02T23:43:00Z,finance-policy-v11,RECONCILED
B117,S-10117,MERCH-EVER,pay_1011700;pay_1011701;pay_1011702;pay_1011703,"33,484.76","33,484.76",685.89,0.00,EVER26080310117,2026-08-03 20:26:00,2026-08-04T22:26:00Z,finance-policy-v11,RECONCILED
B118,S-10118,MERCH-CRUX,pay_1011800;pay_1011801;pay_1011802;pay_1011803;pay_1011804;pay_1011805;pay_1011806;pay_1011807,94833.96,94833.96,1942.54,0.00,CRUX26080410118,2026-08-04T13:46:00Z,2026-08-06T16:46:00Z,finance-policy-v11,RECONCILED
B119,S-10119,MERCH-EVER,pay_1011900;pay_1011901;pay_1011902;pay_1011903;pay_1011904;pay_1011905;pay_1011906;pay_1011907;pay_1011908,"₹1,15,800.56","₹1,15,800.56","₹2,371.99",₹0.00,EVER26080510119,08/05/2026 10:45,2026-08-06T16:45:00Z,finance-policy-v11,RECONCILED
B120,S-10120,MERCH-CRUX,pay_1012000;pay_1012001;pay_1012002;pay_1012003;pay_1012004;pay_1012005,"₹80,663.28","₹80,663.28","₹1,835.96",₹0.00,CRUX26082410120,2026-08-24 13:11:00,2026-08-25T13:11:00Z,finance-policy-v12,RECONCILED
